Depth,POINTID,pH_CaCl2,pH_H2O,EC,OC,CaCO3,P,N,K,OC (20-30 cm),CaCO3 (20-30 cm),Ox_Al,Ox_Fe,NUTS_0,NUTS_1,NUTS_2,NUTS_3,TH_LAT,TH_LONG,SURVEY_DATE,Elev,LC,LU,LC0_Desc,LC1_Desc,LU1_Desc
0-20 cm,50523028,5.1,5.92,8.05,15.2,NA,66,1.9,198.3,,,,,PL,PL2,PL21,PL214,49.90573106,20.21258986,20-08-18,261,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50523064,5,5.7,10.95,17.1,NA,61.3,2,110.8,,,,,PL,PL2,PL21,PL214,50.22578389,20.28182762,23-08-18,301,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50543022,5,5.84,5.74,12.5,NA,11.9,1.5,272.5,,,,,PL,PL2,PL21,PL214,49.84988393,20.22874708,20-08-18,322,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50543044,5.9,6.53,15.36,21,NA,18.6,2.3,228.7,,,,,PL,PL2,PL21,PL214,50.04547998,20.27091357,15-08-18,229,E30,U415,Grassland,Spontaneously re-vegetated surfaces,Other abandoned areas
0-20 cm,50562996,4.4,4.93,6.96,34.6,NA,22.8,3.4,100.2,,,,,PL,PL2,PL21,PL218,49.61619181,20.20691823,15-09-18,719,D20,U420,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
0-20 cm,50642978,4.2,4.66,23.05,20.8,NA,21.5,2.6,80.7,,,,,PL,PL2,PL21,PL219,49.44612448,20.28249222,09-09-18,582,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50643022,3.9,4.49,9.02,19.1,1,< LOD,2,72.8,,,,,PL,PL2,PL21,PL214,49.83730264,20.36663081,05-09-18,313,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,50643036,5.6,6.14,25.01,13.2,NA,53.2,1.7,183.5,,,0.5,1.6,PL,PL2,PL21,PL214,49.96173917,20.39376292,16-08-18,306,B55,U111,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50643054,4.5,5.05,19.66,20.2,NA,16,2.3,239.5,,,,,PL,PL2,PL21,PL214,50.12170841,20.42890728,04-08-18,224,A30,U319,Artificial land,Other artificial areas,"Electricity, gas and thermal power distribution"
0-20 cm,50683002,4,4.76,5.29,17.1,1,< LOD,1.8,117.5,,,,,PL,PL2,PL21,PL218,49.65445393,20.38311176,06-09-18,642,C23,U120,Woodland,Other coniferous woodland,Forestry
0-20 cm,50702998,4.3,4.64,21.4,23.2,NA,23.7,2.7,86.2,,,,,PL,PL2,PL21,PL218,49.61635981,20.40286883,30-05-18,834,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50703010,4.2,4.68,29.47,25.1,NA,16.2,3.3,76.1,,,,,PL,PL2,PL21,PL218,49.72302196,20.42603469,10-09-18,513,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50703016,5.9,5.97,13.14,42.7,1,11.9,4.4,128.7,,,,,PL,PL2,PL21,PL218,49.7763491,20.43766583,14-09-18,473,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50743050,3.3,3.87,5.98,39.1,2,< LOD,1.8,51.1,,,,,PL,PL2,PL21,PL214,50.07333678,20.55958777,04-08-18,208,C32,U120,Woodland,Pine dominated mixed woodland,Forestry
0-20 cm,50763016,4.4,5.08,8.02,20.9,1,< LOD,2.4,167.3,,,,,PL,PL2,PL21,PL218,49.76866972,20.5202512,05-09-18,405,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,50783006,4.8,5.2,15.67,32.6,NA,44.4,3.9,87.4,,,,,PL,PL2,PL21,PL218,49.67723828,20.52820981,04-09-18,433,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50783042,4.3,4.8,9.84,14.4,NA,14.4,1.3,46,,,,,PL,PL2,PL21,PL217,49.9970937,20.59906756,10-08-18,237,E30,U112,Grassland,Spontaneously re-vegetated surfaces,Fallow land
0-20 cm,50822986,4.1,4.67,8.53,15.2,1,< LOD,1.7,117.1,,,,,PL,PL2,PL21,PL218,49.49436585,20.54409433,10-09-18,854,C23,U120,Woodland,Other coniferous woodland,Forestry
0-20 cm,50823040,4.8,5.22,21.68,19.9,NA,18.8,2.3,158.5,,,,,PL,PL2,PL21,PL217,49.97413369,20.65037619,10-08-18,257,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50823054,5.1,5.34,35.81,21.1,NA,18.2,2.4,107.1,,,,,PL,PL2,PL21,PL217,50.09848271,20.6783672,01-08-18,223,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50903044,3.3,3.97,10.06,62.3,1,17.2,3.3,65.1,,,,,PL,PL2,PL21,PL217,49.99918857,20.76895433,25-07-18,266,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,50923032,5.1,5.8,8.22,14.6,NA,25.5,1.7,189,,,,,PL,PL2,PL21,PL217,49.88999379,20.77240647,29-07-18,336,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50923054,4.1,4.68,11.56,19.7,NA,77.5,1.8,105.6,,,2.2,2.9,PL,PL2,PL21,PL217,50.08534426,20.81685935,31-07-18,226,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50983028,4.3,4.9,14.62,9.5,NA,49,1.3,102.8,,,,,PL,PL2,PL21,PL217,49.84655203,20.84704643,07-08-18,312,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50983046,5.9,6.36,14.31,14.1,NA,13.3,1.8,178,,,,,PL,PL2,PL21,PL217,50.00636188,20.88358395,23-07-18,229,B32,U111,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,51003032,4.6,5.4,17.93,14.2,NA,56,1.8,228.7,,,,,PL,PL2,PL21,PL217,49.87941198,20.88271172,07-08-18,345,B75,U113,Cropland,Other fruit trees and berries,Kitchen gardens
0-20 cm,51083062,3.9,4.31,10.58,10.8,NA,26.3,1.3,30.7,,,,,PL,PL2,PL21,PL217,50.13496447,21.05489877,27-07-18,256,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,51083080,6.6,6.85,14.97,12.3,NA,40,1.3,60.2,,,,,PL,PL2,PL21,PL217,50.29467598,21.09247144,15-08-18,209,E20,U362,Grassland,Grassland without tree/shrub cover,Sport
0-20 cm,51142978,5.1,5.66,8.63,22.9,NA,< LOD,2.6,69.3,,,,,PL,PL2,PL21,PL218,49.38131831,20.96552011,07-09-18,579,E30,U120,Grassland,Spontaneously re-vegetated surfaces,Forestry
0-20 cm,51143014,4.5,4.89,23.68,15,NA,60.9,1.9,320.8,,,0.8,2.3,PL,PL2,PL21,PL218,49.70088932,21.0386277,24-08-18,369,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,51143024,4.4,5.11,5.65,9.4,NA,10.9,1.3,86.4,,,,,PL,PL2,PL21,PL217,49.78964095,21.0591512,24-08-18,358,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,51143060,3.3,4.02,8.12,37.1,NA,16.9,2.5,37.6,,,,,PL,PL2,PL21,PL217,50.10908208,21.13382686,27-07-18,247,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,51143068,5.1,5.73,13.71,10,NA,22.3,1.3,46.3,,,,,PL,PL2,PL21,PL217,50.18005529,21.15059161,27-07-18,231,B15,U111,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,51223002,4.3,4.7,26.27,25.5,NA,20.7,2.8,69.7,,,1.8,5,PL,PL2,PL21,PL218,49.58357026,21.12371769,28-08-18,516,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,51223012,3.6,4.15,9.15,35.7,NA,19.9,2.7,111.1,,,,,PL,PL2,PL21,PL218,49.67230846,21.14432315,25-08-18,367,C10,U420,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use
0-20 cm,51223026,4.5,5.09,9.51,16.4,1,11.6,1.8,76.8,,,,,PL,PL2,PL21,PL217,49.79652857,21.17333071,21-08-18,333,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,51243028,4.5,4.91,24.53,18.2,NA,11.6,2.2,154.7,,,1.2,2.8,PL,PL2,PL21,PL217,49.81153977,21.20500855,21-08-18,337,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,48963028,5.5,5.74,26.82,16.3,NA,19.3,2,238,,,,,PL,PL2,PL22,PL227,50.07995895,18.05109799,16-07-18,277,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49023040,6.8,7.16,13.67,11.1,NA,53.3,1.4,203.3,,,,,PL,PL2,PL22,PL227,50.18114542,18.152881,09-07-18,293,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49063030,6.1,6.4,21.4,20.8,1,57.7,1.9,257.7,,,,,PL,PL2,PL22,PL227,50.08787574,18.19315139,07-06-18,255,B45,U111,Cropland,Strawberries,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49183046,3.9,4.4,2.76,16.1,1,< LOD,0.8,34,,,,,PL,PL2,PL22,PL227,50.21850147,18.38513689,19-06-18,252,C32,U120,Woodland,Pine dominated mixed woodland,Forestry
0-20 cm,49203018,4.8,5.23,16.97,71.5,NA,11.6,6.7,197.1,,,,,PL,PL2,PL22,PL227,49.96658625,18.3688414,16-08-18,237,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49243026,4.6,5.05,16.32,16.7,1,21.3,1.7,165.1,,,,,PL,PL2,PL22,PL227,50.03386389,18.43692491,13-06-18,311,C10,U420,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use
0-20 cm,49263016,5.2,5.95,10.5,10.4,NA,25.6,1,181.4,,,,,PL,PL2,PL22,PL227,49.9425681,18.44883973,17-08-18,274,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49343050,5.7,6.35,12.56,13.6,NA,59,1.3,274.2,,,,,PL,PL2,PL22,PL229,50.23753978,18.61451734,19-06-18,280,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49443136,4.9,5.29,12.64,7.8,NA,23.3,0.8,87.5,,,,,PL,PL2,PL22,PL224,50.99357508,18.89886213,28-08-18,260,E30,U111,Grassland,Spontaneously re-vegetated surfaces,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49483014,5.9,6.35,19.64,22.9,NA,11.6,2.4,76.7,,,,,PL,PL2,PL22,PL225,49.90159134,18.75021193,18-08-18,299,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,49542992,4,4.45,20.9,70.2,2,23,4.8,139,,,,,PL,PL2,PL22,PL225,49.69895602,18.79710487,13-08-18,645,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,49563108,5,5.75,7.6,14.4,NA,39.1,1.4,142.3,,,,,PL,PL2,PL22,PL224,50.73086408,19.0199253,21-05-18,325,B55,U111,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49583124,4.3,4.92,6.23,12.5,NA,63.2,1,34.8,,,,,PL,PL2,PL22,PL224,50.87121025,19.07593541,10-05-18,293,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,49623100,4.8,5.66,5.28,9.1,NA,68.4,0.9,90.5,,,1.1,3.6,PL,PL2,PL22,PL224,50.65292138,19.09041896,11-05-18,328,B55,U111,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49642990,5,5.43,23.9,40.7,1,13.9,3.5,147.8,,,,,PL,PL2,PL22,PL225,49.67029094,18.93153873,14-08-18,612,C31,U120,Woodland,Spruce dominated mixed woodland,Forestry
0-20 cm,49703024,6.5,6.68,20.38,17.7,1,61.3,1.9,257,,,,,PL,PL2,PL22,PL22C,49.96677472,19.07141279,20-06-18,296,B32,U111,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49703144,4.1,4.5,3.26,12.7,NA,41.4,0.9,< LOD,,,,,PL,PL2,PL22,PL224,51.03585215,19.28103279,30-05-18,252,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry
0-20 cm,49782972,4.6,4.98,17.67,33.5,1,23.4,3.2,157.3,,,,,PL,PL2,PL22,PL225,49.49441073,19.09390231,16-05-18,630,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,49803118,3.9,4.22,9.35,8.2,NA,81.3,0.9,27.3,,,,,PL,PL2,PL22,PL224,50.792883,19.37548263,04-06-18,295,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49822986,5.2,5.89,6.35,23.3,NA,18.8,2.6,119.5,,,,,PL,PL2,PL22,PL225,49.61473039,19.17245384,08-06-18,500,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49823112,6.5,7.04,15.52,11.9,NA,22.8,1.4,97.4,,,,,PL,PL2,PL22,PL224,50.73715609,19.39282831,04-06-18,311,B53,U111,Cropland,Other Leguminous  and mixtures for fodder,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49882996,4.6,5.05,16.86,26.2,NA,17.7,2.9,192.2,,,,,PL,PL2,PL22,PL225,49.69708093,19.27209419,30-08-18,453,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49883068,6,6.32,20.89,18.7,NA,< LOD,1.9,101.8,,,,,PL,PL2,PL22,PL22B,50.33843589,19.39810159,05-07-18,340,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49903118,4.1,4.9,3.17,7.6,NA,33.5,0.7,17,,,,,PL,PL2,PL22,PL224,50.78130444,19.51630011,28-05-18,283,E30,U420,Grassland,Spontaneously re-vegetated surfaces,Semi-natural and natural areas not in use
0-20 cm,49943106,4.1,4.52,10.72,9,NA,16.7,1.2,157.3,,,,,PL,PL2,PL22,PL224,50.66980964,19.55061677,04-06-18,335,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,49962994,3.8,4.26,8.72,55.6,1,< LOD,3.4,95.3,,,,,PL,PL2,PL22,PL225,49.67014899,19.37873985,30-08-18,533,C21,U120,Woodland,Spruce dominated coniferous woodland,Forestry
0-20 cm,50023090,5.4,5.56,8.96,7.1,NA,10.2,0.8,27.5,,,,,PL,PL2,PL22,PL22B,50.5179919,19.63349024,06-06-18,396,B18,U111,Cropland,Triticale,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50043106,4.8,5.22,18.5,10.1,NA,18.3,1.3,150.1,,,,,PL,PL2,PL22,PL22B,50.65802205,19.69103003,24-05-18,322,B18,U111,Cropland,Triticale,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50143092,6.5,6.73,22.8,9.1,1,25.4,0.9,197.2,,,,,PL,PL2,PL22,PL22B,50.52150694,19.80515055,23-05-18,342,B15,U111,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,50143110,4.1,4.47,16.66,9.5,1,31.7,1.1,176.7,,,,,PL,PL2,PL22,PL22B,50.68164892,19.8389036,08-05-18,307,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47303242,7,7.02,159.96,58.5,49,14.9,6.2,136,,,,,PL,PL4,PL41,PL417,52.13657996,15.98127092,07-08-18,96,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47323234,4.8,5.16,20.44,16.5,NA,14.7,1.9,49.3,,,,,PL,PL4,PL41,PL417,52.06348646,16.00076001,03-08-18,95,B15,U111,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47363330,4.4,5.13,4.95,7.6,NA,138.2,0.8,39.1,,,0.7,1.5,PL,PL4,PL41,PL411,52.91971904,16.17824536,04-06-18,75,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47403238,6.1,5.43,42.9,18.9,2,118.7,2,247.2,,,,,PL,PL4,PL41,PL417,52.09331647,16.12196665,31-07-18,104,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47403248,3.8,4.59,3.12,7.8,1,18.7,0.4,19.5,,,,,PL,PL4,PL41,PL417,52.18282072,16.1342735,11-09-18,113,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry
0-20 cm,47443236,3.6,4.15,3.96,8.4,1,26,0.6,32.3,,,,,PL,PL4,PL41,PL417,52.07238476,16.17767519,31-07-18,107,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry
0-20 cm,47443326,5.5,5.71,54.4,140.6,NA,101,13,59.7,,,,,PL,PL4,PL41,PL411,52.87776391,16.29161026,06-07-18,27,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47463226,6.1,6.65,10.11,33,1,67.1,2.7,248.6,,,0.8,1.9,PL,PL4,PL41,PL417,51.98136145,16.19434705,06-05-18,125,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47463250,6.7,6.93,97.4,41,8,254.4,4.2,239.4,,,,,PL,PL4,PL41,PL417,52.19615006,16.22422602,11-09-18,125,B32,U111,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47523334,3.7,4.28,3.75,19.3,2,14.2,1,29.2,,,,,PL,PL4,PL41,PL411,52.94305426,16.42060073,13-07-18,74,C22,U120,Woodland,Pine dominated coniferous woodland,Forestry
0-20 cm,47543240,6.1,6.46,40.18,43.5,NA,11,4.4,19.8,,,,,PL,PL4,PL41,PL417,52.10047586,16.32812169,26-07-18,106,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47563298,5.2,5.5,15.61,7.6,NA,52.3,1,110.4,,,0.6,1.3,PL,PL4,PL41,PL418,52.61782864,16.43223237,19-07-18,119,B18,U111,Cropland,Triticale,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47583292,5.1,5.49,15.33,10,NA,87,1.2,114.9,,,1,1.9,PL,PL4,PL41,PL418,52.56256295,16.4537652,19-07-18,132,B18,U111,Cropland,Triticale,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47583356,6.4,6.59,24,15.7,NA,25.7,1.8,177.1,,,0.6,1.6,PL,PL4,PL41,PL411,53.13503659,16.53922715,24-08-18,104,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47603286,7.4,7.39,34.65,17.3,37,26.5,2.1,217.3,,,,,PL,PL4,PL41,PL418,52.50729345,16.47524874,19-07-18,127,B32,U111,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47623218,6.2,6.8,12.48,8.2,NA,35.9,0.8,67.6,,,1.4,1.7,PL,PL4,PL41,PL417,51.89734757,16.41620322,22-09-18,147,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47623224,5.2,5.58,12.035,10.6,NA,18.4,1.35,40.4,,,,,PL,PL4,PL41,PL417,51.95103078,16.42388482,10-09-18,145,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47623278,6.8,7.28,25.45,28.9,12,30.8,3.2,110,,,1.1,1.3,PL,PL4,PL41,PL418,52.43412929,16.49404845,24-07-18,125,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47643268,5.9,6.39,9.76,8.1,NA,27.3,1,114.8,,,,,PL,PL4,PL41,PL418,52.34307128,16.51016077,26-07-18,121,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47643370,6,6.8,16.6,9.1,NA,22.8,1.1,152.4,,,,,PL,PL4,PL41,PL411,53.25535043,16.64786873,27-08-18,139,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47663274,7.2,7.64,22.545,15.2,71.5,16.95,1.85,316.85,,,,,PL,PL4,PL41,PL418,52.39513157,16.54734895,24-07-18,137,B32,U111,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47663278,3.7,4.23,4.38,14.3,NA,26.2,0.9,13.5,,,,,PL,PL4,PL41,PL418,52.43091063,16.55265747,24-07-18,134,C33,U120,Woodland,Other mixed woodland,Forestry
0-20 cm,47683338,4.5,5.35,5.41,7,NA,69.6,0.9,64.3,,,0.6,0.9,PL,PL4,PL41,PL411,52.96589761,16.66322495,15-06-18,103,B15,U111,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47683360,4.8,5.73,3.74,7.4,NA,60.1,0.8,38.1,,,,,PL,PL4,PL41,PL411,53.16262814,16.69363968,27-08-18,79,E10,U420,Grassland,Grassland with sparse tree/shrub cover,Semi-natural and natural areas not in use
0-20 cm,47703394,6,6.64,11.62,12.7,1,64.3,1.4,91,,,,,PL,PL4,PL41,PL411,53.46496846,16.77131294,07-08-18,137,B13,U111,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47723248,5.7,6.2,16.66,7.3,NA,68.1,0.8,164.2,,,1.4,3.8,PL,PL4,PL41,PL417,52.15770745,16.60047368,10-09-18,112,B18,U111,Cropland,Triticale,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47723276,7,7.38,18.05,18.2,24,11.3,2.2,77.9,,,,,PL,PL4,PL41,PL418,52.40814138,16.63786548,24-07-18,131,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47723396,4.6,5.24,7.96,7.8,1,34.1,0.9,55.9,,,,,PL,PL4,PL41,PL411,53.48116923,16.80416431,07-08-18,151,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47743280,7,7.38,46.9,59.8,27,15.9,5,111,,,,,PL,PL4,PL41,PL418,52.44227317,16.67255684,24-07-18,134,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,47743406,5.2,5.69,10.42,11.9,NA,37,1.2,49,,,,,PL,PL4,PL41,PL411,53.56887845,16.84855137,30-09-18,181,F40,U111,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47763238,6.5,7.01,23.95,10.4,1,49,1.4,186.2,,,0.2,0.4,PL,PL4,PL41,PL417,52.06500025,16.64536947,21-07-18,112,B32,U111,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47763256,5.1,5.43,14.65,5.6,NA,25.6,0.9,185.2,,,,,PL,PL4,PL41,PL418,52.22598846,16.66943736,26-07-18,120,B32,U111,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47763266,7.2,7.41,17.22,5.7,22,40.5,0.8,156.5,,,,,PL,PL4,PL41,PL418,52.31542189,16.68290095,23-05-18,115,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47763328,5.1,5.68,7.29,40.3,NA,< LOD,3.8,19.4,,,,,PL,PL4,PL41,PL418,52.86984077,16.76788246,12-09-18,111,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47783232,6.6,6.94,14.82,8.7,NA,31.8,1.2,83.2,,,,,PL,PL4,PL41,PL417,52.00969646,16.66641945,21-07-18,115,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47783268,5.4,5.61,11.45,10,NA,77.7,1.3,199.4,,,,,PL,PL4,PL41,PL418,52.33165587,16.71483484,23-05-18,127,B32,U111,Cropland,Rape and turnip rape,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47803200,5.8,5.94,24.82,15,NA,16.3,1.6,75.1,,,,,PL,PL4,PL41,PL417,51.72184067,16.65293734,11-05-18,144,B18,U111,Cropland,Triticale,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47803272,4.8,5.01,6.88,5.3,NA,52.2,0.7,16.3,,,,,PL,PL4,PL41,PL418,52.36576553,16.74952206,26-09-18,116,E20,U111,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47803344,5.7,6.44,4.15,7.1,1,51.1,0.7,35.6,,,0.9,2.1,PL,PL4,PL41,PL411,53.0095271,16.8496094,14-06-18,87,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47823196,3.6,4.09,6.06,30.1,NA,16.3,2,30.1,,,,,PL,PL4,PL41,PL417,51.68442248,16.67648803,26-05-18,176,C10,U120,Woodland,Broadleaved woodland,Forestry
0-20 cm,47843368,5,5.66,6.94,6.3,NA,48.5,0.7,36.4,,,,,PL,PL4,PL41,PL411,53.22066083,16.94343094,27-08-18,80,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47863194,7,7.45,20.74,18.7,3,35.1,2.3,113.5,,,1.1,1.4,PL,PL4,PL41,PL417,51.66323496,16.73145377,01-06-18,139,B52,U111,Cropland,Lucerne,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47863234,7.3,7.45,20.33,7.6,5,115.3,1,120.1,,,,,PL,PL4,PL41,PL417,52.02095501,16.78521446,08-07-18,128,B51,U111,Cropland,Clovers,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47883340,3.3,3.97,5.36,34.7,1,77.4,1.5,45.1,,,,,PL,PL4,PL41,PL411,52.96694307,16.96256343,16-09-18,138,C23,U120,Woodland,Other coniferous woodland,Forestry
0-20 cm,47943212,5.7,6.25,19.29,10.1,NA,59.4,1.3,167.4,,,,,PL,PL4,PL41,PL417,51.8175063,16.87111146,21-07-18,147,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47963394,4.9,5.5,7.9,8.8,NA,60.7,1,67.3,,,,,PL,PL4,PL41,PL411,53.44255413,17.16109393,06-08-18,138,B14,U111,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47983192,6.4,6.74,11.83,13.2,1,73,1.5,270.6,,,,,PL,PL4,PL41,PL417,51.63528642,16.90149864,01-06-18,138,B11,U111,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
0-20 cm,47983228,5.4,5.6,9.08,7.4,NA,51.6,0.9,71.8,,,0.5,1.3,PL,PL4,PL41,PL417,51.9571568,16.95100928,20-09-18,128,B16,U111,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
